table3_out_12.aig,141,61,97.13
ex5_out_40.aig,20,10,91.02
table3_out_0.aig,147,65,92.55
misex3c_out_9.aig,110,39,57.28
ex1010_out_1.aig,0,0,86.91
spla_out_32.aig,22,9,99.94
ex5_out_47.aig,9,5,97.27
alu4_out_6.aig,318,91,51.56
inc_out_8.aig,5,4,100.00
table3_out_4.aig,247,89,90.80
table3_out_2.aig,166,71,95.45
Z5xp1_out_8.aig,0,0,50.00
spla_out_40.aig,0,0,99.98
ex5_out_18.aig,0,0,98.44
ex5_out_26.aig,0,0,99.22
5xp1_out_8.aig,0,0,100.00
5xp1_out_0.aig,10,7,89.06
ex5_out_58.aig,12,6,98.44
inc_out_7.aig,16,7,98.44
table3_out_11.aig,97,60,87.91
ex5_out_9.aig,0,0,99.61
pdc_out_9.aig,39,17,99.58
ex5_out_33.aig,0,0,98.05
ex5_out_20.aig,0,0,99.22
ex1010_out_9.aig,0,0,86.82
t481_out_0.aig,2335,598,40.77
misex1_out_3.aig,20,13,85.94
spla_out_1.aig,4,3,100.00
spla_out_21.aig,0,0,99.99
misex3_out_4.aig,225,71,91.92
b12_out_1.aig,23,11,94.53
spla_out_3.aig,3,3,99.18
pdc_out_2.aig,16,11,99.98
Z5xp1_out_3.aig,41,17,57.81
pdc_out_15.aig,4,3,100.00
pdc_out_39.aig,6,6,100.00
5xp1_out_9.aig,2,2,92.97
pdc_out_30.aig,2,2,98.36
ex1010_out_5.aig,0,0,85.55
pdc_out_12.aig,7,7,100.00
Z9sym_out_0.aig,0,0,82.03
misex3_out_9.aig,251,83,94.04
spla_out_41.aig,0,0,99.98
misex3_out_12.aig,9,9,99.58
pdc_out_28.aig,11,10,93.12
misex3c_out_12.aig,9,9,99.58
ex5_out_56.aig,8,4,96.88
alu4_out_4.aig,948,258,54.69
misex3_out_13.aig,734,218,54.64
misex3_out_8.aig,118,40,96.78
ex5_out_17.aig,4,4,100.00
table3_out_3.aig,93,35,97.61
ex5_out_30.aig,0,0,99.61
pdc_out_14.aig,1,1,100.00
spla_out_35.aig,34,19,98.69
ex5_out_43.aig,35,13,85.94
pdc_out_37.aig,32,25,98.88
inc_out_5.aig,11,8,90.62
table3_out_10.aig,106,50,94.73
inc_out_2.aig,24,10,89.06
con1_out_1.aig,18,9,75.00
pdc_out_33.aig,24,21,99.86
spla_out_31.aig,15,12,97.66
Z5xp1_out_6.aig,6,5,62.50
ex5_out_8.aig,0,0,99.61
alu4_out_0.aig,128,51,43.16
misex3c_out_8.aig,11,10,99.90
misex3_out_0.aig,373,133,91.02
misex3c_out_0.aig,139,49,47.66
ex5_out_51.aig,31,13,38.67
clip_out_2.aig,48,19,52.34
spla_out_9.aig,53,29,97.89
ex5_out_53.aig,24,11,74.61
pdc_out_24.aig,0,0,99.98
sao2_out_2.aig,0,0,96.48
misex3c_out_13.aig,734,218,54.64
pdc_out_34.aig,26,10,99.96
pdc_out_5.aig,10,9,98.22
ex5_out_5.aig,3,3,100.00
5xp1_out_1.aig,18,9,78.91
ex5_out_45.aig,9,5,97.66
rd84_out_0.aig,9,6,57.81
misex3_out_7.aig,354,100,90.88
spla_out_4.aig,3,3,99.19
rd84_out_2.aig,0,0,99.61
misex3_out_1.aig,410,126,91.02
b12_out_4.aig,20,9,78.12
pdc_out_7.aig,15,12,99.54
ex5_out_36.aig,11,5,99.61
ex5_out_16.aig,0,0,99.61
spla_out_36.aig,34,19,98.69
spla_out_11.aig,4,4,99.59
Z5xp1_out_1.aig,10,7,89.06
Z5xp1_out_5.aig,37,16,62.50
rd84_out_1.aig,0,0,50.00
ex5_out_42.aig,5,3,92.58
ex5_out_31.aig,19,9,90.62
b12_out_7.aig,15,7,99.22
b12_out_8.aig,28,11,99.61
5xp1_out_3.aig,32,14,59.38
ex5_out_4.aig,4,4,100.00
ex1010_out_6.aig,0,0,84.67
ex5_out_27.aig,0,0,99.61
sao2_out_1.aig,0,0,98.05
5xp1_out_7.aig,0,0,50.00
ex5_out_55.aig,17,8,98.44
table3_out_1.aig,0,0,98.57
pdc_out_0.aig,14,11,99.08
5xp1_out_6.aig,7,4,100.00
table3_out_6.aig,0,0,99.34
pdc_out_20.aig,21,16,99.32
